id,calories,proteins,fat,carbohydrate,name,image
211,60.0,4.0,5.0,1.0,Kraft Cheddar 160g,https://images.openfoodfacts.org/images/products/899/800/908/0500/front_id.19.400.jpg
212,60.0,0.0,0.0,15.0,teh botol,https://images.openfoodfacts.org/images/products/899/600/685/6180/front_en.8.400.jpg
213,100.0,7.0,3.0,12.0,Low Fat Fresh Milk,https://images.openfoodfacts.org/images/products/899/275/300/5475/front_en.4.400.jpg
214,0.0,2.0,0.0,26.0,Ultra sari kacang hijau,https://images.openfoodfacts.org/images/products/899/800/905/0053/front_id.4.400.jpg
215,20.0,0.0,0.0,4.8,Fanta,https://images.openfoodfacts.org/images/products/003/050/503/6075/front_en.3.400.jpg
216,40.0,0.0,0.0,9.5,Fruit Tea Rasa Apel,No Image Available
217,130.0,0.0,14.0,0.0,Soybean Oil Mama Suka,https://images.openfoodfacts.org/images/products/899/510/270/5101/front_en.3.400.jpg
218,428.57,0.0,0.0,100.0,Marjan,https://images.openfoodfacts.org/images/products/899/888/811/0114/front_en.11.400.jpg
219,35.0,0.0,0.0,8.5,NU Green Tea,https://images.openfoodfacts.org/images/products/899/238/810/1085/front_en.3.400.jpg
220,48.0,0.4,0.8,10.4,Nutriboost orange 300ML,https://images.openfoodfacts.org/images/products/899/276/116/4539/front_id.3.400.jpg
221,509.0,20.0,20.0,74.0,mi goreng fried noodles,https://images.openfoodfacts.org/images/products/008/968/617/0795/front_en.21.400.jpg
222,100.0,1.0,3.0,18.0,Ff Kental manis bendera puch,https://images.openfoodfacts.org/images/products/899/275/300/4010/front_en.6.400.jpg
223,354.37,8.05,1.95,76.55,Pasta gluten free,https://images.openfoodfacts.org/images/products/931/015/500/9577/front_fr.10.400.jpg
224,64.0,3.2,3.6,4.8,GreenFields Full Cream Milk,https://images.openfoodfacts.org/images/products/899/335/112/1307/front_id.32.400.jpg
225,428.0,10.0,14.2,65.0,Indomie Soto Mie,https://images.openfoodfacts.org/images/products/008/968/601/0343/front_id.3.400.jpg
226,140.0,3.0,3.5,23.0,Silky Pudding,https://images.openfoodfacts.org/images/products/899/293/344/3219/front_en.12.400.jpg
227,440.0,10.0,40.0,10.0,Prochiz Cheddar Royale 160g,https://images.openfoodfacts.org/images/products/899/701/445/0025/front_id.7.400.jpg
228,10.0,1.0,1.5,9.0,Biscuit marie,No Image Available
229,500.0,10.0,20.0,70.0,Nabati,https://images.openfoodfacts.org/images/products/899/317/553/7346/front_id.19.400.jpg
230,361.0,8.8,8.2,63.1,Sichuan spicy stewed beef flavor,https://images.openfoodfacts.org/images/products/692/641/032/8128/front_en.6.400.jpg
231,430.0,9.0,19.0,55.0,Indomie Mi Goreng ACEH,https://images.openfoodfacts.org/images/products/008/968/604/3204/front_en.3.400.jpg
