calories,proteins,fat,carbohydrate
23.0,1.8,0.1,4.9
250.0,7.5,5.0,42.5
48.0,0.6,0.2,12.4
130.0,5.0,11.0,2.0
380.0,48.9,13.8,23.3
180.0,19.0,11.0,1.0
394.0,2.2,8.8,76.6
354.0,7.5,1.5,76.5
137.0,4.3,4.8,19.1
600.0,23.3,43.3,30.0
565.0,18.2,38.4,36.8
191.67,1.67,8.33,25.83
315.0,0.0,0.0,77.7
188.0,19.3,12.2,0.0
413.0,28.7,19.8,29.8
184.62,6.15,7.69,23.08
242.0,19.0,17.0,3.0
76.0,6.8,0.7,10.6
59.0,0.5,0.4,15.1
16.1,0.36,0.45,2.95
288.0,2.5,16.2,30.0
100.0,0.8,0.2,23.8
49.0,0.7,0.2,11.1
258.0,40.3,2.3,18.9
167.0,0.2,4.0,33.0
80.0,0.0,3.0,0.0
27.0,1.3,2.0,1.0
60.0,1.0,1.25,11.0
45.0,0.0,1.5,8.0
100.0,0.0,0.0,27.0
380.0,11.9,30.3,14.9
47.0,0.5,0.2,10.4
174.0,19.6,10.0,0.0
61.0,0.9,0.3,15.4
248.0,8.0,1.2,50.0
102.9,3.3,2.7,16.3
564.0,25.5,44.4,25.5
100.0,3.0,2.5,17.0
2.15,1.0,6.0,20.0
81.0,16.2,1.2,0.7
0.0,2.0,4.0,3.0
365.0,23.7,22.3,17.5
554.0,26.6,49.7,5.3
355.0,9.2,3.9,73.7
113.0,1.2,0.2,26.7
29.0,1.8,0.7,5.2
165.0,0.9,0.2,39.8
339.0,7.7,4.4,73.0
220.0,15.0,0.9,38.0
20.0,0.0,1.0,2.0
450.0,5.0,10.0,85.0
0.0,1.0,1.75,10.5
98.0,2.0,0.4,24.5
345.0,22.2,1.2,62.9
456.0,46.5,24.4,0.0
174.0,17.0,10.0,3.0
59.0,18.0,1.1,3.6
88.0,0.8,0.3,20.9
140.0,4.7,1.3,33.1
362.0,35.6,1.0,52.0
150.0,7.0,9.0,11.0
77.2,0.7,3.5,10.7
446.0,2.8,14.5,76.0
109.6,2.6,2.6,18.6
110.0,4.5,6.9,7.1
157.0,8.1,8.8,11.4
149.25,1.49,5.22,23.13
386.0,17.0,35.0,0.8
70.0,1.0,0.0,11.0
92.0,1.2,0.3,21.0
33.0,1.2,1.3,4.1
467.0,6.67,16.7,73.3
311.0,8.0,4.0,48.9
81.0,11.4,1.9,3.8
76.0,9.0,2.6,6.4
36.0,1.0,0.3,7.3
462.0,3.1,24.4,57.7
20.0,1.0,0.1,4.6
253.3,4.3,21.0,11.7
368.0,2.6,8.6,70.0
428.57,11.43,11.43,65.71
285.88,4.24,18.47,25.65
45.0,2.6,0.3,8.1
380.0,18.0,34.0,0.0
387.0,16.0,22.0,3.0
225.7,3.0,0.3,52.9
64.0,1.6,1.2,11.2
450.0,10.0,17.5,65.0
50.0,6.2,1.1,7.1
332.0,24.0,3.0,55.0
126.0,4.2,9.4,6.2
411.76,0.0,0.0,94.12
300.0,24.0,20.7,4.5
20.0,0.0,0.0,5.0
320.0,7.3,18.7,31.0
355.0,0.7,0.2,85.2
516.0,17.7,49.5,0.0
478.0,38.3,33.9,5.1
354.37,8.05,1.95,76.55
154.0,16.6,9.2,0.0
265.0,40.6,10.1,0.0
0.0,0.0,0.0,18.0
80.0,3.0,2.0,12.0
87.0,0.8,0.4,20.1
220.0,2.3,2.3,6.3
359.0,3.4,34.7,14.0
57.0,10.7,0.3,2.2
319.0,6.9,31.7,0.0
63.0,3.8,1.5,11.5
462.0,64.1,17.9,64.1
279.0,1.7,5.6,52.0
120.0,18.0,10.0,10.0
410.0,7.6,12.0,65.0
239.0,2.8,0.6,62.5
218.0,0.8,16.0,50.2
273.0,47.8,3.8,12.5
137.0,1.3,1.1,29.8
347.0,1.3,0.7,83.8
125.0,21.3,3.4,2.2
96.0,19.0,1.7,0.0
153.0,1.2,0.3,36.4
600.0,5.0,35.0,60.0
82.0,5.8,1.3,11.7
450.0,5.0,15.0,75.0
200.0,0.0,0.0,46.67
84.0,15.2,0.6,4.7
70.0,1.0,0.0,18.0
120.0,1.1,0.2,26.8
28.6,0.0,0.0,6.86
120.0,2.4,0.4,26.0
54.0,11.0,0.0,0.8
55.0,1.4,0.2,12.8
30.0,2.3,0.4,5.8
486.0,0.2,23.9,67.6
129.0,12.3,0.5,35.0
598.0,8.3,43.8,42.6
36.0,2.7,0.7,4.8
113.0,0.9,7.2,11.2
521.0,32.2,37.7,22.9
440.0,4.0,17.0,70.0
295.0,7.3,8.5,47.5
561.0,25.5,43.8,26.0
17.5,3.3,2.3,39.5
150.0,2.5,12.5,7.0
95.3,4.4,2.2,14.4
65.0,1.82,0.64,11.68
42.0,1.8,0.5,9.4
20.0,1.0,2.0,9.0
42.0,3.8,0.6,7.8
338.0,2.9,0.4,80.6
38.0,1.1,0.3,7.6
76.0,3.6,0.3,14.6
34.0,0.5,0.8,6.2
64.0,0.7,0.6,15.8
500.0,6.67,26.67,0.0
62.0,4.2,0.9,9.2
86.2,0.0,0.0,17.2
370.0,8.0,1.0,82.2
449.0,30.6,25.5,31.9
29.0,2.5,1.6,1.2
0.0,0.0,0.0,1.0
297.0,35.9,15.2,1.6
353.0,0.7,0.2,84.7
102.0,6.2,3.9,10.5
56.0,3.1,0.3,13.0
23.0,1.2,0.6,3.7
336.0,20.0,28.0,7.8
141.0,15.3,3.3,12.6
22.0,2.5,0.6,3.1
355.0,9.2,3.9,73.7
58.0,1.3,1.6,7.9
193.0,22.6,7.9,7.8
357.0,8.4,1.7,77.1
355.0,9.2,3.9,73.7
96.0,19.5,1.1,2.0
381.0,3.7,3.7,74.07
515.0,30.6,42.1,13.8
243.0,5.2,7.3,39.1
107.0,15.9,0.6,0.4
650.0,10.0,50.0,30.0
360.0,57.3,6.0,19.2
55.0,1.2,0.1,12.2
111.0,4.5,1.1,20.7
67.0,5.0,2.1,8.1
162.0,12.8,11.5,0.7
504.0,5.6,28.1,57.1
500.0,6.25,18.8,68.8
600.0,20.0,45.0,30.0
388.0,19.0,7.5,61.2
22.0,1.1,1.0,3.4
186.0,11.7,9.7,13.0
471.0,5.88,23.5,64.7
70.0,14.6,0.8,1.0
245.0,33.1,11.4,0.3
230.0,4.5,10.1,28.8
65.0,1.0,0.3,16.3
60.0,3.0,4.0,4.5
2.0,6.0,2.0,55.0
190.0,4.7,7.5,26.0
25.0,0.0,0.0,5.0
246.0,0.0,0.0,0.0
296.0,17.1,20.3,11.3
366.0,11.0,3.3,73.0
46.0,0.5,12.0,12.2
48.0,1.4,4.2,2.6
176.0,32.0,4.4,0.0
123.0,8.4,0.6,1.8
61.0,0.8,0.2,14.1
152.0,4.5,2.3,28.2
121.0,21.7,2.8,0.8
325.0,1.8,0.4,78.5
60.0,5.4,2.5,4.0
120.0,1.2,0.2,31.8
60.0,0.0,0.0,15.0
533.0,6.67,28.9,62.2
148.9,10.4,10.4,20.1
446.67,0.0,0.0,98.0
388.0,17.5,7.5,65.0
289.0,16.0,25.0,0.0
108.0,0.5,0.4,25.6
112.0,20.0,1.3,3.7
181.0,2.8,1.2,39.8
600.0,32.0,48.0,16.0
221.3,3.8,3.6,43.4
45.0,1.4,0.2,10.3
140.0,2.0,70.0,0.0
171.0,11.0,2.2,28.0
381.0,6.1,3.9,80.3
114.0,16.3,4.6,0.8
267.0,23.1,19.4,0.2
130.0,4.0,7.0,14.0
114.0,1.4,9.6,25.6
151.0,1.6,0.3,35.4
150.0,2.0,6.0,21.0
206.0,17.1,14.8,0.0
270.0,12.3,15.9,19.3
23.0,2.9,0.2,4.1
249.0,7.9,1.5,49.7
375.0,12.5,10.4,62.5
50.0,0.5,0.5,11.0
468.0,7.6,20.4,62.4
241.0,5.8,21.6,5.8
261.0,0.9,1.6,63.3
296.0,9.4,1.1,62.0
35.0,1.7,0.2,7.7
153.0,7.9,7.7,13.0
69.0,1.0,0.1,15.7
514.0,1.0,27.8,647.0
116.0,11.2,1.2,10.2
370.5,2.0,0.0,92.0
433.0,10.0,13.3,66.7
76.0,5.2,1.8,10.6
142.0,0.9,0.4,33.7
113.0,0.8,0.3,26.8
140.0,2.0,6.0,19.0
154.0,4.4,2.1,28.0
467.0,10.0,20.0,66.7
130.0,2.0,40.0,20.0
152.0,0.0,0.0,37.6
89.0,18.7,1.0,0.0
361.0,19.3,31.9,0.7
341.0,23.3,6.13,50.3
136.0,19.7,3.2,6.0
331.0,68.7,4.2,0.0
0.0,0.0,18.0,80.0
230.0,0.6,0.2,56.5
274.0,12.9,18.6,13.6
418.0,19.0,9.0,65.5
130.0,3.0,3.5,22.0
0.0,0.0,0.2,0.0
883.0,0.0,99.9,0.0
0.0,5.0,6.0,8.0
295.0,62.4,2.3,1.8
29.2,0.0,0.0,7.5
461.0,11.3,20.0,57.4
368.0,6.8,32.0,13.2
80.0,0.0,5.0,9.0
372.0,12.0,29.4,14.4
142.0,11.0,2.5,20.4
352.0,7.3,0.9,76.2
50.0,4.6,0.9,7.0
350.0,2.7,1.1,82.3
304.0,5.3,7.0,54.9
247.0,2.9,4.2,49.5
520.0,4.0,32.0,60.0
586.0,4.9,40.6,50.2
51.0,1.5,1.0,10.1
104.0,21.9,1.1,0.0
183.1,9.86,7.04,21.13
113.0,18.1,4.1,0.9
75.0,2.5,0.75,15.0
92.0,20.0,0.7,0.0
2.15,0.0,45.0,7.0
428.57,0.0,0.0,100.0
590.0,27.0,49.0,20.9
380.0,33.6,27.5,0.0
166.0,3.8,1.0,34.4
375.0,0.0,0.0,100.0
50.0,4.4,1.4,7.8
315.0,2.1,1.4,73.5
244.0,36.7,9.2,1.0
395.0,3.0,5.7,81.2
350.0,10.0,1.5,75.0
54.0,3.7,0.3,11.8
273.0,17.5,22.0,0.0
77.0,3.5,4.6,5.4
536.0,40.5,41.5,0.0
250.0,0.0,18.75,25.0
361.0,7.4,0.8,78.4
63.0,1.0,0.2,16.1
138.0,14.0,0.7,7.4
40.0,0.0,1.5,7.0
581.0,12.1,40.6,41.7
39.0,4.5,0.4,6.9
219.0,19.7,13.6,4.4
44.0,0.7,0.2,11.2
337.0,7.9,11.8,50.0
110.0,1.0,6.0,11.0
34.0,3.8,0.5,5.3
74.0,10.3,1.4,4.1
180.0,5.0,5.0,32.0
456.0,10.5,17.5,66.7
130.0,3.0,2.0,24.0
100.0,2.86,2.86,14.29
486.0,5.2,27.0,51.0
314.0,22.1,1.1,56.2
307.0,7.9,3.4,63.6
288.6,8.3,8.9,44.3
437.5,0.0,6.25,87.5
12.4,0.0,0.0,3.1
360.0,64.0,8.0,8.0
114.0,5.3,3.0,16.4
40.0,3.0,0.8,7.4
509.0,24.6,30.0,36.2
41.0,2.0,0.3,7.8
340.0,5.0,0.0,80.0
64.0,1.0,3.1,8.0
174.0,30.0,3.5,3.5
475.0,22.5,35.0,15.0
46.0,0.4,0.2,11.9
179.0,27.6,7.63,0.0
70.0,1.0,3.0,10.0
345.0,8.5,2.2,78.0
83.33,1.25,1.25,15.42
500.0,5.0,25.0,65.0
137.0,15.0,8.1,0.9
110.0,1.7,1.3,21.9
239.0,0.5,0.6,64.5
140.0,1.0,5.0,23.0
474.0,7.6,21.6,62.3
13.0,0.3,0.6,1.6
30.0,1.3,0.7,5.8
173.0,0.5,0.1,42.5
227.26,4.57,10.11,29.37
36.0,0.0,0.0,9.6
147.0,17.5,6.5,5.4
509.0,20.0,20.0,74.0
134.0,1.1,0.5,35.5
59.0,6.4,1.0,9.9
362.0,7.7,4.4,73.0
298.0,46.3,3.6,20.2
192.5,4.5,6.0,30.3
101.0,10.3,3.7,6.7
902.0,0.0,100.0,0.0
338.0,21.1,27.0,1.0
10.0,2.0,6.0,22.0
400.0,34.4,16.9,34.1
274.0,1.7,5.4,55.5
63.5,3.17,3.7,4.76
369.0,2.1,7.0,74.1
30.0,0.0,0.0,8.0
85.0,0.9,6.5,7.7
250.0,2.0,24.0,6.0
34.0,2.0,0.1,7.9
45.0,2.5,3.9,0.0
386.0,3.0,10.0,76.0
331.0,25.0,1.0,58.0
281.0,2.4,0.7,66.1
101.0,2.1,0.2,23.2
82.0,17.4,0.4,2.3
283.0,35.7,14.3,0.5
250.0,2.6,2.5,35.4
462.0,1.2,20.7,67.7
369.0,9.5,1.4,77.1
80.0,0.0,0.0,19.0
478.0,8.7,19.6,69.6
629.0,20.4,56.3,19.8
45.0,4.7,0.5,8.1
354.0,0.5,0.3,87.4
512.0,26.0,26.0,60.4
286.0,30.2,15.6,30.1
550.0,5.0,35.0,50.0
590.0,18.5,57.0,0.0
95.0,4.5,0.2,23.1
132.0,19.5,0.7,67.8
192.0,3.8,8.8,24.4
28.0,0.7,0.5,6.3
403.0,10.6,2.2,85.3
80.0,3.2,2.4,12.0
439.0,10.0,16.4,65.7
120.0,3.5,2.5,20.8
109.0,0.8,0.5,26.3
65.0,0.6,3.2,8.1
18.0,0.8,0.2,4.1
600.0,5.0,40.0,55.0
85.71,0.95,1.43,19.05
217.0,11.0,1.7,5.1
80.0,2.4,2.8,11.2
137.5,1.25,10.0,11.25
240.0,7.8,0.5,51.3
126.7,14.0,7.3,1.3
42.0,2.0,1.1,6.1
526.0,6.9,28.7,58.9
110.0,1.0,2.0,22.0
128.0,18.0,3.0,7.2
120.0,2.0,2.5,22.0
60.0,0.67,0.0,14.0
88.0,3.2,2.1,14.0
347.0,0.5,0.9,84.2
331.0,1.9,7.6,63.8
350.0,9.0,1.0,77.0
400.0,2.0,3.5,89.0
204.0,16.9,8.8,17.5
71.0,1.7,3.1,9.1
100.0,7.0,1.5,14.0
181.0,4.0,1.2,37.3
28.0,3.0,0.8,4.0
50.0,1.0,2.0,7.0
360.0,13.5,31.2,12.8
244.0,4.0,3.5,46.0
0.0,2.0,5.0,11.0
376.0,7.5,3.8,78.0
600.0,14.0,41.7,42.0
24.24,0.0,0.0,6.06
192.0,5.4,0.3,40.7
88.0,15.9,0.9,4.1
198.0,19.0,13.0,0.0
366.0,4.2,4.3,77.5
326.0,16.0,28.6,0.0
89.0,1.1,0.1,21.0
187.5,0.0,62.5,25.0
342.0,22.9,1.4,61.6
51.0,2.6,1.3,7.2
460.0,18.0,28.0,36.0
29.0,2.1,0.7,3.6
120.0,2.0,4.0,21.0
178.0,2.6,13.9,10.6
365.0,8.9,1.3,77.3
350.0,0.5,0.2,85.9
145.0,1.1,0.3,34.5
166.0,1.7,0.5,38.8
323.0,4.9,11.5,50.1
58.0,0.7,0.2,13.3
422.0,83.0,4.0,0.0
46.0,4.0,0.5,8.9
462.0,9.89,17.6,64.8
278.0,62.6,4.1,2.2
366.0,4.2,4.3,7.9
433.0,6.5,20.0,56.5
170.0,4.0,3.5,32.0
357.0,41.1,10.0,25.6
87.0,2.6,2.7,13.1
142.0,27.0,3.0,0.0
84.0,18.7,0.5,0.0
400.0,13.3,6.67,70.0
571.0,4.9,39.2,46.5
144.0,1.1,0.4,34.1
132.0,19.7,3.2,6.0
328.0,7.46,13.4,44.8
39.0,2.3,1.9,2.0
42.0,1.6,0.1,9.6
68.0,9.0,1.9,3.7
458.33,4.17,14.58,75.0
18.8,0.0,0.0,5.0
63.6,1.82,2.27,0.0
123.0,1.8,0.7,27.9
598.0,74.3,26.9,9.2
112.0,3.0,3.0,20.0
500.0,0.0,25.0,68.75
199.0,2.1,1.5,44.4
40.0,0.0,0.0,9.5
463.0,11.0,17.5,64.1
190.0,19.1,12.0,0.0
33.0,1.9,0.1,7.4
42.0,0.3,0.2,10.9
128.0,12.0,6.5,12.4
37.5,7.5,5.0,47.5
144.0,10.0,1.0,24.7
500.0,10.0,20.0,70.0
163.0,3.0,0.4,35.7
59.0,2.8,0.3,13.4
452.0,1.3,13.8,80.6
60.0,2.0,0.0,13.0
0.0,8.0,15.0,71.0
350.0,60.0,2.5,20.0
145.0,27.0,2.3,0.0
444.0,5.56,16.7,72.2
471.0,4.7,21.8,64.1
139.0,7.4,2.1,22.6
218.18,1.82,10.0,30.0
650.0,15.0,30.0,95.0
130.0,1.0,4.0,23.0
451.0,6.59,15.4,70.3
445.0,11.0,11.0,65.5
21.0,1.7,0.4,3.8
60.0,3.1,0.3,14.0
340.0,5.0,0.0,80.0
86.0,0.6,3.3,14.0
37.0,2.5,0.8,6.9
140.0,5.0,6.0,8.0
500.0,5.0,25.0,65.0
336.0,23.1,1.7,59.5
123.0,1.8,0.7,27.9
12.0,0.0,0.0,2.0
32.0,2.9,0.2,5.8
320.0,7.2,4.2,63.3
355.0,0.6,1.1,85.6
278.0,1.0,18.0,6.0
120.0,1.5,0.3,28.2
217.0,1.2,0.5,53.2
520.0,4.0,28.0,60.0
36.0,0.4,0.4,8.8
100.0,0.8,0.2,23.8
210.0,7.0,4.0,36.0
100.0,1.0,5.0,13.0
360.0,8.0,2.3,74.5
84.0,10.5,4.6,0.2
149.0,2.8,0.4,32.5
902.0,0.0,100.0,0.0
49.0,5.8,0.5,5.3
129.0,19.7,4.8,1.7
306.7,9.0,18.0,27.0
467.0,10.0,15.0,70.0
368.0,5.5,4.6,78.0
321.0,7.55,11.3,49.1
450.0,10.0,17.5,65.0
50.0,6.2,1.1,7.1
362.0,0.5,0.3,86.9
