calories,proteins,fat,carbohydrate
657.0,15.0,66.0,13.0
100.0,5.0,7.0,4.0
277.0,60.0,2.3,1.8
405.0,1.0,17.0,63.0
48.0,1.4,4.2,2.6
131.0,1.1,0.2,31.3
720.0,0.6,81.0,0.4
204.0,2.6,20.0,4.0
120.0,10.0,6.0,5.0
519.0,7.41,25.9,63.0
356.0,0.4,0.5,90.6
336.0,8.2,10.0,55.0
326.0,22.8,20.3,13.1
75.0,8.2,2.0,6.0
30.0,1.0,1.0,3.0
56.0,3.1,0.3,13.0
130.0,6.7,0.3,25.2
180.0,3.0,0.3,39.8
60.0,5.1,0.5,8.5
18.0,1.0,0.2,3.8
289.0,38.0,14.0,0.0
346.0,16.6,1.7,66.1
146.7,5.9,5.9,19.7
149.0,16.6,9.2,0.0
148.0,10.0,9.8,5.0
71.0,4.1,2.1,12.3
356.0,8.0,25.0,41.0
390.0,9.2,16.1,66.7
189.0,11.3,15.7,0.6
353.0,0.8,1.7,83.6
29.0,0.7,0.6,5.0
129.0,4.1,1.3,30.3
0.39,25.0,1.5,8.0
360.0,4.7,0.1,82.1
130.0,3.0,2.0,24.0
110.0,2.9,9.5,3.2
37.0,3.1,0.2,7.9
78.0,14.5,0.6,3.7
50.0,2.0,6.0,7.0
207.0,18.8,14.0,0.0
37.0,0.8,0.5,8.3
494.0,7.5,36.4,40.1
280.0,8.2,10.2,39.0
98.0,21.9,1.1,0.0
445.0,9.9,20.7,50.9
550.0,5.0,30.0,60.0
902.0,0.0,100.0,0.0
60.0,0.0,0.0,15.0
116.0,3.0,0.4,28.6
74.0,25.2,1.7,0.0
148.0,13.8,8.5,4.0
60.0,3.2,3.2,4.8
175.0,1.8,1.8,35.0
364.0,0.1,0.2,90.5
93.0,12.8,1.5,6.1
170.0,5.0,2.5,39.0
250.0,5.0,10.0,35.0
144.0,17.5,6.3,4.3
400.0,29.3,5.33,60.0
147.0,5.1,0.7,31.5
425.0,12.5,12.5,67.5
34.0,0.9,1.0,6.7
271.43,4.29,15.71,28.57
11.0,0.0,0.0,2.7
336.0,23.1,1.7,59.5
560.0,4.0,32.0,60.0
201.0,20.8,8.8,13.5
224.0,26.2,11.3,4.4
265.3,4.7,5.5,49.3
327.0,8.41,10.3,51.4
46.0,3.0,0.3,7.9
500.0,4.55,20.5,72.7
448.0,2.7,18.8,67.1
52.0,0.0,0.0,13.2
120.0,5.0,7.0,10.0
350.0,20.0,0.0,65.0
80.0,1.0,3.0,13.0
25.0,2.3,0.2,3.5
302.0,18.2,25.0,0.0
158.0,4.4,3.2,27.8
60.0,0.67,0.33,14.0
20.0,0.0,0.0,4.89
332.35,23.04,6.0,48.77
504.0,5.5,52.9,29.2
500.0,9.62,24.25,59.75
464.29,7.14,21.43,67.86
70.0,10.8,0.7,5.2
73.0,6.8,1.2,13.0
24.0,0.0,0.0,6.0
166.3,2.7,3.9,29.5
60.9,1.74,2.61,8.7
126.0,1.6,0.2,24.5
68.0,2.0,1.0,15.2
355.0,9.0,8.2,62.0
447.76,11.94,19.4,4.48
342.0,2.63,10.5,55.3
29.0,1.1,0.3,6.6
485.0,11.5,24.5,59.1
163.0,3.0,0.4,35.7
500.0,10.0,20.0,70.0
307.0,4.8,0.1,71.8
240.0,8.0,40.0,52.0
338.89,5.56,0.0,77.78
88.0,14.2,0.7,6.2
360.0,6.8,0.7,78.9
77.0,1.06,0.37,3.71
340.0,5.0,0.0,80.0
0.0,2.0,0.0,26.0
500.0,0.0,40.0,60.0
133.0,7.3,6.6,11.2
13.0,0.4,0.2,3.0
520.0,20.0,28.0,48.0
238.0,2.0,9.0,36.0
135.0,2.5,8.8,11.5
64.0,3.2,3.6,4.8
328.0,18.4,23.2,12.8
140.0,4.0,8.0,12.0
334.85,9.2,10.9,49.5
49.0,1.7,0.3,9.8
193.0,10.6,12.4,9.7
356.0,20.5,4.1,61.6
19.0,1.3,0.2,2.9
76.0,4.1,2.5,9.2
98.23,8.8,5.0,4.5
476.0,0.1,21.1,71.3
72.0,11.4,4.9,1.4
545.0,3.8,32.0,59.5
298.0,8.0,23.8,48.9
90.0,14.9,2.5,2.1
373.0,4.3,16.5,51.9
428.57,0.0,0.0,100.0
44.0,0.0,0.0,10.0
150.0,0.0,0.0,0.0
39.0,3.0,0.6,7.6
0.8,0.0,0.0,19.0
249.0,3.4,0.4,58.0
60.0,4.0,5.0,1.0
56.0,0.4,0.2,14.6
350.0,10.0,7.5,75.0
330.0,17.8,23.4,12.1
111.0,0.9,2.3,21.6
155.0,22.3,2.9,9.9
32.0,0.0,0.0,8.0
100.0,0.9,0.3,23.5
39.0,0.3,0.3,8.9
40.0,0.0,0.0,9.95
429.0,7.14,10.7,78.6
44.8,0.0,0.0,11.3
126.7,0.7,0.7,57.3
130.0,6.0,7.0,10.0
95.0,1.5,0.1,22.4
307.0,4.5,13.3,42.4
60.0,3.0,3.0,5.0
40.0,3.0,1.25,4.5
126.0,14.0,7.2,1.5
59.0,2.9,0.3,13.9
300.0,0.0,0.0,70.0
90.0,1.5,0.1,21.9
75.0,3.0,2.0,11.0
111.0,13.3,3.4,6.7
133.8,3.0,1.6,27.0
200.0,3.0,9.0,26.0
27.0,1.3,0.6,4.0
172.0,3.0,0.5,37.5
44.0,1.8,0.6,9.6
360.0,1.3,6.4,74.3
725.0,0.5,81.6,1.4
451.0,11.2,20.2,59.7
155.0,20.1,3.8,10.2
90.0,1.2,0.1,21.1
62.0,4.0,0.5,10.5
163.0,16.5,9.0,4.1
15.0,1.0,0.4,1.9
341.0,5.5,16.2,43.3
285.0,1.0,18.0,28.0
60.0,3.2,3.2,4.8
392.0,5.4,28.5,28.4
357.0,11.0,2.0,73.0
420.0,9.0,17.0,57.0
27.0,0.4,0.2,6.0
179.0,22.5,3.5,13.3
500.0,5.0,25.0,60.0
652.0,40.4,54.3,0.0
666.67,29.63,55.56,11.11
204.0,0.5,1.4,47.4
55.0,1.7,0.1,11.9
38.0,1.6,0.8,6.3
120.0,1.5,0.3,28.2
129.0,4.1,1.3,30.3
58.0,2.9,0.7,10.0
355.0,17.0,2.5,66.0
233.0,0.0,23.3,0.0
19.0,0.9,0.1,4.2
26.0,2.1,0.1,4.9
154.0,16.8,5.0,10.5
189.0,20.2,8.2,12.7
183.0,12.0,14.4,1.4
350.0,1.4,14.4,53.6
191.0,4.5,1.5,39.7
75.0,0.2,1.1,16.1
193.0,42.0,1.5,0.0
4.0,0.0,0.0,0.9
2.0,0.0,0.0,1.0
387.0,5.3,7.6,74.3
30.0,3.1,0.3,5.8
78.0,11.4,2.0,3.6
629.0,21.5,56.6,19.8
40.0,2.0,2.0,3.0
60.0,0.5,1.25,11.5
500.0,0.0,25.0,62.5
156.0,28.0,4.0,2.0
516.0,14.7,31.1,44.4
120.0,2.4,0.4,26.0
120.0,11.3,3.9,10.0
380.0,42.0,8.0,38.0
372.0,7.8,36.3,3.5
284.0,12.0,14.4,13.6
900.0,18.0,2.3,1.5
57.0,0.5,0.1,13.6
153.0,4.5,4.2,24.3
53.0,3.2,2.5,7.6
90.0,1.0,0.5,21.0
142.0,5.0,0.7,30.3
363.0,1.1,0.5,88.2
93.6,4.4,1.8,15.1
246.0,37.9,9.0,0.7
113.0,17.0,4.5,0.0
212.0,17.5,10.0,12.9
464.0,1.2,18.6,73.0
301.0,14.2,10.9,49.0
500.0,0.0,33.33,66.67
431.0,8.3,14.7,62.9
54.0,2.2,3.6,3.1
25.0,4.6,0.4,3.0
106.0,4.4,6.3,7.9
111.0,0.3,2.7,21.2
123.0,10.4,8.6,0.8
98.0,1.6,0.7,20.9
52.0,10.0,0.5,1.8
156.0,4.2,1.4,31.6
42.0,3.3,0.2,9.6
49.0,2.7,1.0,8.4
316.0,20.7,1.0,58.0
138.0,7.0,7.9,9.9
345.0,23.8,1.4,59.3
27.0,0.6,0.3,5.2
191.0,32.0,6.0,0.0
0.0,0.27,4.0,10.0
76.48,14.5,0.7,2.8
110.0,12.6,4.2,5.4
292.0,58.0,4.0,0.0
355.0,0.7,0.2,85.2
627.0,26.4,49.5,19.8
275.0,11.6,11.6,30.2
353.0,0.3,0.0,88.0
440.0,10.0,40.0,10.0
95.0,1.0,0.1,22.6
76.0,5.2,1.8,10.6
333.0,23.3,3.33,53.3
513.0,17.5,32.5,44.3
342.86,5.71,0.0,80.0
35.0,0.0,0.0,8.5
341.0,0.3,0.0,85.0
51.0,1.7,0.5,10.0
211.0,12.3,6.1,26.6
190.0,19.1,12.0,0.0
71.67,0.56,2.78,7.78
144.0,17.8,5.8,5.2
363.3,19.3,19.3,40.3
120.0,2.8,0.5,82.3
270.0,32.3,11.2,9.9
75.0,2.5,2.8,10.0
359.0,17.2,68.2,332.0
151.0,8.6,3.1,22.3
76.0,2.0,2.4,12.4
298.0,3.7,2.1,65.9
166.0,2.3,2.8,32.9
63.0,2.0,2.7,9.1
295.0,34.0,16.0,1.5
